"Evo_line","Sp","Coev","fit"
"ML","A","Mono",7.02108396398914
"AN1","A","Anc",6.60123011842888
"AN2","A","Anc",6.38350663458401
"AN3","A","Anc",6.49828214917643
"AN4","A","Anc",6.34212141842115
"AN5","A","Anc",5.52942908721142
"AN6","A","Anc",6.09582456213222
"AN7","A","Anc",6.14846829561765
"AN8","A","Anc",6.65415251988322
"AN9","A","Anc",6.7093043399583
"AN10","A","Anc",6.20657592642493
"AN11","A","Anc",6.39692965491615
"AN12","A","Anc",6.61740297767448
"CA","S","Com",8.45446636120793
"CB","S","Com",8.38022733604308
"CC","S","Com",8.60739945900239
"CD","S","Com",8.45276133095685
"CE","S","Com",7.9373746958633
"CF","S","Com",8.24064886307491
"CG","S","Com",8.28197705856776
"CH","S","Com",8.11492297390459
"CI","S","Com",8.39660622812712
"CJ","S","Com",8.13622555460846
"CK","S","Com",7.17930796920403
"CL","S","Com",8.23217423608394
"MA","S","Mono",8.58372971491648
"MB","S","Mono",8.45276133095685
"MC","S","Mono",8.41803561958302
"MD","S","Mono",8.3485378250861
"ME","S","Mono",8.61902749699751
"MF","S","Mono",8.43554920207573
"MG","S","Mono",7.84776253717361
"MH","S","Mono",8.53149049581706
"MI","S","Mono",8.44591198911127
"MJ","S","Mono",8.39660622812712
"MK","S","Mono",7.84776253717361
"ML","S","Mono",8.16621626829214
"AN1","S","Anc",8.56254889283703
"AN2","S","Anc",8.75904072722422
"AN3","S","Anc",8.7514744868409
"AN4","S","Anc",8.70483390938779
"AN5","S","Anc",NA
"AN6","S","Anc",8.64751945279181
"AN7","S","Anc",8.55641390426952
"AN8","S","Anc",8.66974258957652
"AN9","S","Anc",8.56864647270515
"AN10","S","Anc",8.47637119659598
"AN11","S","Anc",8.53464010471996
"AN12","S","Anc",8.5956346174228
"CA","O","Com",6.95081476814258
"CB","O","Com",7.4265490720973
"CC","O","Com",7.22402480798583
"CD","O","Com",7.37274636610433
"CE","O","Com",7.54327334640545
"CF","O","Com",7.55590509331135
"CG","O","Com",7.56008046472183
"CH","O","Com",7.49554194358426
"CI","O","Com",7.61283103010736
"CJ","O","Com",7.51534457088044
"CK","O","Com",7.28344822845663
"CL","O","Com",7.19743535379659
"MA","O","Mono",7.63240112630145
"MB","O","Mono",7.43602781605185
"MC","O","Mono",7.69439280232942
"MD","O","Mono",7.66293785016154
"ME","O","Mono",7.33171496942647
"MF","O","Mono",7.20637729117225
"MG","O","Mono",7.6246189858594
"MH","O","Mono",7.64587582488481
"MI","O","Mono",7.43838352974431
"MJ","O","Mono",7.47533923626674
"MK","O","Mono",7.42416528074203
"ML","O","Mono",7.55799495823081
"AN1","O","Anc",7.54538974931182
"AN2","O","Anc",7.71423114454909
"AN3","O","Anc",7.64969262341151
"AN4","O","Anc",7.45240245092364
"AN5","O","Anc",7.60887062889126
"AN6","O","Anc",7.64969262341151
"AN7","O","Anc",7.64204440257326
"AN8","O","Anc",7.70706265507047
"AN9","O","Anc",7.71601526634259
"AN10","O","Anc",7.5847730773122
"AN11","O","Anc",7.60489448051162
"AN12","O","Anc",7.72134861231795
